data,despesa
01/08/2021,8615.25
01/09/2021,11153.900000000001
01/10/2021,14011.17
01/11/2021,22654.230000000003
01/12/2021,15394.189999999999
01/01/2022,10744.18
01/02/2022,9842.189999999999
01/03/2022,1139.0500000000002
01/04/2022,0.0
01/05/2022,0.0
01/06/2022,0.0
01/07/2022,0.0
01/08/2022,0.0
01/09/2022,0.0
01/10/2022,0.0
01/11/2022,0.0
01/12/2022,0.0
